question/raters,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,,,,,,
respond1,4,4,2,4,1,1,4,4,5,2,3,4,4,4,2,2,4,4,4,4,4,4,4,2,5,2,4,4,4,4,3.43,trust,,,,,,,
respond1,4,4,3,2,1,4,4,2,2,4,2,4,4,2,4,2,2,4,4,2,1,2,4,4,2,4,2,2,4,4,2.97,boring,,,,,,,
respond1,2,2,4,3,5,2,2,4,2,4,4,2,2,4,2,5,4,2,2,4,3,2,2,2,2,2,2,4,2,2,2.80,lively,,,,,,,
respond1,4,4,4,4,4,3,4,4,3,2,3,4,4,4,2,2,4,2,4,4,3,2,3,2,3,2,4,2,4,4,3.27,persuasive,,,,,,,
respond1,4,4,2,4,2,2,4,4,3,2,3,4,4,4,4,3,4,5,4,4,5,3,3,4,3,2,4,2,4,4,3.47,reasonable,,,,,,,
respond1,4,4,2,4,2,2,4,4,4,3,3,4,4,4,2,3,4,5,4,3,4,4,3,4,3,3,4,2,4,4,3.47,trustworthy,,,,,,,
respond1,4,4,4,4,2,2,4,4,3,2,3,4,4,4,4,3,4,5,4,3,4,4,3,4,3,3,4,2,4,4,3.53,logical,,,,,,,
respond1,4,2,4,2,3,2,2,4,4,4,4,4,4,5,2,4,4,4,4,2,1,5,4,4,4,4,2,4,4,5,3.50,feel about the topic,,,,,,,
respond2,3,4,1,3,3,2,3,3,5,4,4,5,5,5,3,3,4,5,5,4,4,3,5,4,5,4,4,4,2,3,3.73,trust,,,,,,,
respond2,4,3,4,3,2,4,4,5,2,2,2,1,2,2,3,3,3,4,3,1,3,5,3,3,1,3,3,3,3,4,2.93,boring,,,,,,,
respond2,3,2,3,3,4,3,2,2,4,3,3,3,4,4,3,4,4,3,3,5,3,1,3,3,5,3,3,3,3,2,3.13,lively,,,,,,,
respond2,2,3,1,3,4,1,2,3,4,4,3,5,5,4,1,3,4,4,4,4,4,2,4,3,5,3,3,3,2,3,3.20,persuasive,,,,,,,
respond2,3,4,1,4,4,1,2,3,5,4,4,5,5,5,2,3,4,5,4,5,4,2,5,3,5,4,4,4,2,3,3.63,reasonable,,,,,,,
respond2,3,4,1,4,4,1,3,3,4,4,4,5,5,4,3,3,4,5,4,5,4,3,5,4,5,4,4,4,2,3,3.70,trustworthy,,,,,,,
respond2,4,4,1,4,4,1,3,3,4,4,4,5,5,4,1,3,4,5,5,5,4,3,5,4,5,4,4,4,2,3,3.70,logical,,,,,,,
respond2,4,4,4,4,4,3,4,2,4,4,4,5,5,5,4,4,5,5,5,5,4,4,4,5,5,5,4,4,4,4,4.23,feel about the topic,,,,,,,
respond3,3,3,3,1,3,3,4,3,5,2,3,3,3,2,1,1,4,2,4,3,2,4,1,3,4,3,3,4,1,2,2.77,trust,,,,,,,
respond3,3,5,1,5,2,2,5,5,3,5,1,2,5,4,5,3,2,4,3,3,3,2,4,2,2,3,4,3,3,4,3.27,boring,,,,,,,
respond3,5,3,5,3,5,5,2,4,5,3,5,4,3,5,3,5,5,3,4,4,4,4,5,3,4,3,2,2,3,1,3.73,lively,,,,,,,
respond3,2,4,5,2,3,4,4,2,4,2,3,5,4,3,2,2,5,1,5,2,3,5,2,5,3,3,2,4,2,1,3.13,persuasive,,,,,,,
respond3,2,3,5,3,3,4,4,3,3,3,4,5,3,2,1,3,5,1,5,3,1,5,1,5,3,4,3,4,3,1,3.17,reasonable,,,,,,,
respond3,3,4,3,1,4,4,3,1,5,2,3,4,4,3,1,3,5,1,5,3,3,5,1,4,4,3,4,3,1,2,3.07,trustworthy,,,,,,,
respond3,2,5,4,3,3,4,5,3,3,2,4,4,4,4,2,3,5,1,3,3,2,5,2,5,5,4,4,4,1,1,3.33,logical,,,,,,,
respond3,3,1,5,2,3,3,2,3,4,3,4,4,2,3,1,3,4,1,2,3,3,5,3,4,4,3,3,3,2,1,2.90,feel about the topic,,,,,,,
