question/raters,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,,,,,,
respond1,5,5,2,4,4,2,3,5,4,4,1,4,3,4,4,3,4,5,2,1,4,5,4,4,4,1,2,4,2,3,3.40,trust,,,,,,,
respond1,1,2,2,2,3,3,4,4,2,1,4,2,3,1,4,4,2,4,4,2,4,4,3,3,4,2,4,3,4,4,2.97,boring,,,,,,,
respond1,4,4,5,4,3,4,2,2,5,5,3,4,3,4,2,3,3,3,2,5,2,2,4,4,4,4,4,3,4,2,3.43,lively,,,,,,,
respond1,4,5,4,4,4,2,2,3,5,5,2,3,3,4,3,3,2,4,4,5,2,3,3,3,3,4,4,3,4,3,3.43,persuasive,,,,,,,
respond1,4,2,5,4,4,4,4,4,4,4,4,4,3,4,4,3,2,4,4,4,3,4,3,3,3,4,4,3,4,3,3.63,reasonable,,,,,,,
respond1,2,2,4,2,3,2,4,2,2,1,2,4,3,4,4,3,3,4,3,2,3,3,3,3,4,2,3,3,2,3,2.83,trustworthy,,,,,,,
respond1,3,2,4,3,3,2,4,4,4,4,4,4,3,4,4,3,2,4,4,4,3,4,3,3,3,4,4,3,4,3,3.43,logical,,,,,,,
respond1,3,2,4,3,3,3,2,2,5,4,1,2,3,5,2,3,3,2,2,2,4,4,4,3,4,4,2,3,3,4,3.03,feel about the topic,,,,,,,
respond2,2,4,3,4,3,3,4,5,5,3,4,3,3,4,4,3,4,5,5,2,4,4,4,4,4,3,3,3,3,3,3.60,trust,,,,,,,
respond2,3,3,3,3,3,3,3,3,3,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2.93,boring,,,,,,,
respond2,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3.13,lively,,,,,,,
respond2,4,4,1,2,3,1,3,3,3,4,3,3,3,3,4,4,4,4,4,2,3,3,3,3,3,4,3,3,3,3,3.10,persuasive,,,,,,,
respond2,4,4,1,2,3,2,5,5,3,3,3,3,3,3,4,4,4,4,4,2,4,4,3,3,4,4,4,3,4,3,3.40,reasonable,,,,,,,
respond2,4,4,2,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,2,4,4,3,3,3,4,3,3,3,3,3.33,trustworthy,,,,,,,
respond2,4,4,2,2,3,1,5,5,3,3,3,3,3,2,4,4,4,4,4,2,4,4,3,3,4,4,4,3,4,3,3.37,logical,,,,,,,
respond2,4,4,4,4,3,3,4,4,4,4,4,3,3,3,4,3,4,5,5,5,4,4,3,3,3,5,5,3,4,3,3.80,feel about the topic,,,,,,,
respond3,2,4,1,3,4,1,3,5,1,2,2,4,3,4,2,4,4,4,4,1,4,2,4,5,4,4,2,3,2,3,3.03,trust,,,,,,,
respond3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2.97,boring,,,,,,,
respond3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3,3,3,4,3,4,4,4,3,4,4,3,4,3,3.37,lively,,,,,,,
respond3,4,4,5,4,3,2,3,3,4,4,3,3,3,2,4,3,4,4,3,2,3,3,3,3,3,4,3,3,4,3,3.30,persuasive,,,,,,,
respond3,4,4,5,4,4,2,4,3,3,4,3,4,4,4,4,4,3,4,4,2,4,3,3,3,4,4,4,3,4,4,3.63,reasonable,,,,,,,
respond3,3,4,4,3,3,2,3,3,3,3,3,3,3,4,3,4,3,4,4,2,4,3,3,3,4,4,3,3,3,4,3.27,trustworthy,,,,,,,
respond3,5,4,4,5,4,2,4,3,4,3,3,4,4,4,4,4,4,4,4,2,4,3,3,3,4,4,4,3,4,4,3.70,logical,,,,,,,
respond3,2,3,2,3,3,3,2,3,3,2,3,3,3,3,2,3,3,4,3,2,2,3,3,3,3,2,3,3,3,4,2.80,feel about the topic,,,,,,,
