,Filename,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,Speaker_Rate,speaker_boring,speaker_lively,speaker_persuasive,speaker_reasonable,speaker_trustworthy,speaker_logical,rater_feel_topic,know_speakers,speaker_trusted_by_partner
1,H,3.080959681,-1.444945895,0.581776415,0.255631389,-0.104764281,0.236876191,-0.123731125,-0.252187151,0.32054186,0.800540418,0.429463545,-0.378994589,0.533477016,-0.287132955,-0.388315312,-0.016565928,-1.396141403,2,4,4,4,4,4,3,1,4
2,K,-0.378334713,-0.300649467,0.429651206,0.359142984,0.902192771,0.351393248,0.457474979,-0.89919677,-0.033652115,-1.048942355,-1.098899088,-0.010245205,-1.268533448,0.163126814,1.40052077,-1.568663434,-1.18058451,2,4,3,4,4,4,2,1,1
3,R,0.916465976,-1.137668434,-0.111712681,0.186286134,-0.772252483,0.505983078,-0.527627173,0.158832523,0.363142132,0.696816466,0.632316037,-0.22946906,0.51299105,0.280047088,-0.612500456,1.903116818,0.413201028,2,5,1,1,1,1,2,1,5
4,S,1.337372777,-1.231128698,0.415290839,-0.789560218,-0.233525684,-0.867533082,-0.469580743,-0.89705667,0.044766852,-0.217304776,0.492569812,-0.275991579,0.909368383,-0.210752235,-0.800812496,-0.29903868,-0.793873206,2,4,3,4,4,4,3,1,2
5,U,1.90658177,-0.479202513,0.78629722,0.969400265,0.363035959,0.803799866,0.520226384,0.72288037,0.437302422,1.120380343,0.733178333,-0.378170149,0.621135892,-0.313775422,0.450966172,0.183687015,-0.709232927,1,5,4,2,3,2,3,1,4
6,AC,1.231730822,0.834929108,0.690097981,-0.130348234,0.053314862,-0.289502093,0.231245948,0.683079191,0.361163563,-0.354629809,-0.326032773,-0.330416932,-0.156404619,-0.941546028,1.25760588,-0.306143848,-0.167950066,2,5,4,1,1,1,1,2,5
7,A,2.047603925,-1.18370089,0.813219973,0.465180678,1.187036055,-0.024901478,0.239176954,-0.989127424,0.382919405,0.580577564,0.529633278,-0.270679059,0.377421082,0.293207305,1.229646944,-0.89735955,-0.348977002,2,4,5,5,5,5,4,1,1
8,B,0.780187858,-1.149444883,0.615773545,-1.067789113,-0.613125301,-0.910202186,-0.767920397,-0.016365836,0.283772156,1.24227086,0.857513106,-0.266519936,0.847909613,0.72792107,-1.044648678,0.664692997,0.486387422,1,5,4,5,5,5,5,1,1
9,C,-0.642136401,-0.506896709,0.74177265,0.9296714,-0.682245514,1.552402094,0.263900575,0.69027175,0.173674216,-1.101726089,-0.898693054,-0.380809693,-0.454781201,-0.520183817,0.386504433,-0.429159533,1.014995145,1,5,4,5,5,5,4,1,1
10,D,0.106130277,-0.499946704,0.40069792,-1.009672776,-0.57605489,-0.977648751,-0.971307759,-0.727395823,0.255096337,1.017557657,0.796323962,-0.257935857,0.486685296,-0.247688143,-1.033279341,-0.189223135,0.482799175,3,4,3,1,1,1,2,1,2
11,E,-0.192787853,-0.238104018,0.571499056,1.070713865,1.184812037,0.776358123,0.667407256,-0.448551349,0.389684012,1.524864383,1.279870131,-0.140988609,0.42688398,0.004001913,1.460860277,-0.68312531,-1.1553013,4,2,3,3,3,3,3,1,2
12,F,-0.510727519,1.765914565,-1.604600856,1.083658837,-1.109759514,1.482346279,-0.418094159,1.181273534,0.280713735,-0.888188995,-0.281244219,-0.336570213,0.323296758,-1.507986899,-0.984216548,0.896699351,-0.5561981,2,3,5,5,5,5,3,1,3
13,G,0.705271973,-1.322513705,0.744662988,-0.2896325,-0.253855552,-0.088407287,-0.540118683,-0.452692245,0.245265904,0.874362648,0.585876776,-0.28863982,0.520951317,0.696181508,-0.518691828,0.288945731,0.704778699,2,3,5,5,5,5,4,1,1
14,I,-0.165819756,0.575428565,0.736172763,1.0280784,-0.148193252,1.359390208,-0.025858119,0.720752442,0.200924853,-0.715044275,-0.108397925,-0.040981426,0.241260589,0.082087226,0.620478843,-0.634165348,-0.459158794,3,3,3,3,3,3,3,1,3
15,J,0.753766317,-0.970212893,0.64366243,1.621777091,0.543787045,1.427546876,0.865564098,-0.352545817,0.321323912,0.945514123,0.791199809,-0.223004106,0.625866911,0.381160405,0.614814513,-0.510453699,0.475745171,2,3,4,4,4,4,3,1,1
16,L,1.875557338,-1.142761383,0.789594708,-0.255325281,-0.667735377,-0.028905386,-0.490650065,1.014356174,-3.849927433,-1.882232549,-1.464968717,0.35707623,-0.622585517,0.148736044,0.08465982,-0.079757972,0.660423132,1,5,2,2,2,2,3,1,2
