,Filename,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,Speaker_Rate,speaker_boring,speaker_lively,speaker_persuasive,speaker_reasonable,speaker_trustworthy,speaker_logical,rater_feel_topic,speaker_trusts_their_partner
1,B,-0.8472858,0.48746244,0.62179643,-0.3692901,2.49577249,-1.0644573,1.54070762,-0.6264413,0.34095191,0.42841756,0.29672047,-0.1872658,0.04251816,0.53295313,-0.1885246,0.15716688,-1.3474578,4,1,2,4,3,3,2,4
2,G,-0.6926251,-0.2684882,-0.2824116,-0.3274959,-0.0515017,-0.7317768,0.00672897,1.3323137,0.3235238,0.74496164,0.87985411,-0.2859117,1.04724814,0.07134304,-0.6856516,1.0948707,0.03982672,4,2,3,4,3,4,2,4
3,H,-0.289214,0.36422023,0.82778702,-0.2406105,0.4072617,-0.797147,0.11860416,1.00159202,0.30443706,0.87571927,0.80570152,-0.3022909,0.98705695,0.4311678,0.00196511,0.28673398,0.95027989,2,4,4,4,4,4,4,2
4,L,-0.9106217,2.57764436,-2.2859373,-1.2891924,-1.8696056,-1.115513,-1.1377936,-0.1089772,-3.2582702,-2.3705297,-2.3459616,1.9042463,-2.0430752,-0.3171913,0.29188597,-0.7802802,1.11855825,2,2,3,3,2,3,2,4
5,O,0.21155078,0.00799855,0.39969882,0.24454642,-0.4690761,0.30340176,-0.3276237,-0.1316955,0.19846497,0.40206191,0.49787965,-0.1913872,0.16444284,-0.5866269,-0.6213471,0.54666361,0.60376059,3,3,3,3,3,3,3,2
6,R,0.13461539,-0.5922661,0.77361157,0.77125716,0.40801733,0.58556878,0.07256609,-1.3547167,0.11708366,0.82077866,0.3832881,-0.1495938,0.29627018,0.34325911,-0.4369456,-0.4533153,0.8945546,2,4,2,2,2,2,1,2
7,S,0.59805084,0.07962303,0.76063692,-1.266913,-1.2837352,-1.1159722,-0.7655805,0.70902867,0.18152542,0.0008619,0.49540578,-0.2119503,0.98607421,-0.5355339,-1.4678687,1.75618776,-0.5067897,4,2,4,4,4,4,2,4
8,Y,0.55635508,-0.6532748,0.75728266,0.07275667,0.42412466,-0.2321688,-0.1699164,0.40318253,0.15672413,-1.6191831,-1.9754871,-0.3533474,-1.9736863,-0.8318505,0.23664754,-0.3534654,0.27330644,2,4,4,4,3,3,4,4
9,Z,-0.0943618,1.37563642,0.69142758,1.25820329,0.6498715,1.19110659,1.40860247,1.46467233,0.46439763,0.89414636,0.80333213,-0.3918147,0.74068919,0.19453737,1.81851501,-0.9740267,0.64293078,2,5,4,4,4,3,4,4
10,AD,-0.2238115,2.30231999,-0.2858274,0.62704921,-0.1514027,0.36751587,-0.6659973,0.82683207,0.12170224,0.1993175,0.33541601,0.01930517,0.3655668,-1.835346,-0.9462714,1.71264485,-1.1481315,2,5,4,2,2,2,4,4
11,A,-0.2374727,-0.2751587,0.0458285,-0.5767786,-0.2338547,-0.5609383,-0.4962645,-0.5242509,0.39616015,0.59396924,0.69383438,-0.2790848,0.7346395,-1.4016484,0.16143028,-0.6064756,-1.3003645,2,4,4,3,3,3,4,5
12,C,-0.5432566,3.24052735,-0.2918881,0.24548699,-1.0082298,0.56135152,-0.5281306,0.3705875,0.0256346,-1.0600622,-1.6208041,-0.218189,-1.3195633,-0.5427324,-0.1709239,0.79712573,-0.1920416,4,2,3,4,3,4,2,4
13,D,-0.6683443,0.3565211,0.01557792,-0.2966632,-0.4466671,-0.0816188,-0.4121612,0.63770447,0.3509519,1.05159912,0.92788938,-0.3037375,0.56435321,0.09021026,-0.8309235,1.73578928,1.17343609,3,4,3,3,3,3,3,3
14,E,-0.8059572,-0.2221926,-0.0873521,2.15680426,2.48646131,0.66130921,4.87488793,0.72869468,0.56243402,1.07639332,1.71735986,-0.4031397,1.58354954,3.2715464,3.93880487,-2.5000365,-0.4028679,2,4,4,4,4,5,5,4
15,F,-0.7264723,2.0324602,-1.6763437,0.74708183,-0.787793,1.21270548,0.21635358,1.93729427,0.49271054,-0.8152418,-0.1231205,-0.5427389,0.44672754,-1.1851942,0.430259,-0.9304079,0.09332548,4,4,3,4,3,4,2,4
